2893,41898,44825
2558,42284,44879
3241,42820,46099
2991,43118,46145
3973,42313,46313
4088,42394,46516
2929,43592,46558
2761,43857,46655
2903,44071,47000
4332,42886,47273
2824,44641,47498
2741,44903,47672
2834,45109,47977
3058,45364,48459
2798,45658,48488
2597,46776,49420
2789,47606,50421
3900,46501,50426
3199,47229,50470
3180,47477,50690
2989,47890,50913
3083,47762,50923
3228,47874,51134
3417,47790,51249
2917,48357,51306
3436,47825,51315
2873,48442,51345
2689,48707,51429
3123,48325,51475
2937,48749,51718
3375,48567,51995
3005,49066,52105
3001,49168,52200
4618,47547,52206
3045,49718,52790
2731,50147,52912
3110,50135,53275
3174,50041,53272
4953,48379,53392
3115,50314,53462
2923,50607,53572
3042,50981,54073
2838,51716,54599
2945,51732,54707
2650,52194,54880
2818,52129,54985
3112,52280,55454
3906,51538,55478
3555,52474,56063
3065,53945,57037
3055,54435,57523
4083,53514,57641
3736,54223,57987
4965,53120,58133
3189,55466,58688
3308,56052,59386
2886,56529,59448
3607,56139,59782
3438,56393,59884
2973,57031,60089
74,28107,28184
115,27206,27326
184,28152,28340
138,30907,31050
92,31313,31409
79,32989,33071
111,33456,33571
152,32615,32774
80,30984,31069
134,34321,34460
313,34931,35250
124,30401,30531
76,30862,30945
187,34135,34326
69,31034,31107
171,33888,34089
192,33752,33949
118,30297,30419
141,31244,31411
193,35352,35549
848,34415,35268
111,31413,31557
82,32274,32361
103,32052,32159
558,33439,34002
134,36978,37116
185,33891,34118
93,33301,33434
109,37127,37245
69,36912,36985
125,37545,37676
149,36422,36575
244,37241,37497
211,38430,38646
137,38303,38443
98,37906,38010
245,36856,37106
126,39004,39134
210,36364,36578
178,35551,35737
104,35779,35887
234,34759,34997
202,35467,35673
152,37269,37424
243,38206,38454
118,36447,36571
360,35141,35511
103,36337,36444
153,38751,38909
117,34789,34912
163,34586,34763
119,36606,36729
239,37220,37464
249,36970,37223
87,35544,35674
86,38031,38161
74,37919,37997
79,38068,38173
168,38221,38393
163,38590,38759
126,30683,30813
137,31786,31926
127,31994,32127
183,30159,30346
201,30065,30281
220,28349,28573
166,32796,32967
197,30381,30582
206,28538,28748
178,31325,31510
448,28923,29377
163,28566,28749
786,29341,30170
298,29215,29517
243,30744,30992
261,31254,31522
229,31073,31309
215,32314,32533
213,31689,31906
190,30705,30899
172,32312,32489
1163,30668,31837
425,29987,30416
673,32691,33370
400,30797,31201
186,33211,33403
335,32571,32910
142,32860,33006
163,30742,30908
395,33490,33890
205,32311,32521
175,33332,33512
185,33854,34045
594,31215,31813
114,32085,32206
577,31534,32124
164,33118,33308
183,34005,34194
161,33740,33905
359,31728,32092
259,32961,33226
312,30167,30485
167,34344,34516
559,31441,32011
189,32782,32976
190,34560,34795
228,33493,33728
204,30076,30291
229,33205,33444
225,32925,33156
231,30181,30416
357,31997,32366
271,30522,30808
201,32814,33032
223,36389,36652
456,33279,33742
236,31560,31801
176,32696,32877
75,28437,28516
175,35073,35252
182,34466,34654
86,29690,29780
106,27156,27266
111,27407,27524
43,27146,27193
67,27661,27731
82,31075,31161
57,27345,27406
57,27684,27746
69,27984,28097
363,27660,28026
323,28765,29092
102,29345,29450
68,31272,31358
55,33182,33241
69,30133,30216
179,29562,29747
90,27843,27936
112,30552,30671
52,31589,31647
64,29632,29707
206,29481,29691
107,29778,29890
230,29956,30192
63,30494,30594
69,30431,30506
169,31024,31198
166,31746,31917
162,31637,31810
216,31699,31919
83,33936,34023
196,31465,31679
197,32085,32288
146,30414,30564
188,31917,32115
327,31892,32223
1018,30025,31050
182,32236,32428
204,32438,32658
160,33128,33294
277,32023,32306
206,32077,32288
234,31961,32201
173,31113,31292
170,33400,33577
589,30627,31221
314,32731,33053
648,32748,33442
322,33358,33697
979,30365,31357
670,32681,33355
615,31765,32395
960,34485,35455
304,30869,31186
147,28586,28738
444,31446,31895
137,32934,33076
189,32398,32593
175,33184,33364
287,29214,29505
149,29144,29304
158,28319,28483
177,29701,29890
194,28100,28299
249,27814,28070
140,34316,34461
303,27510,27818
665,27430,28142
368,34190,34563
146,29738,29889
285,29804,30132
296,29891,30191
130,30259,30394
140,30095,30240
254,28789,29056
188,29427,29621
278,28426,28708
282,30632,30919
312,29706,30031
181,31056,31242
212,29863,30079
406,31041,31451
273,31927,32244
361,29408,29809
1010,30833,31849
151,30906,31063
64,31846,31913
60,32765,32830
189,31382,31575
50,32592,32646
105,31102,31213
47,31563,31615
272,31174,31451
120,32473,32597
220,31887,32112
66,31508,31580
176,31586,31766
100,31060,31165
100,33144,33248
101,31340,31454
221,29421,29647
167,31737,31909
53,31640,31720
91,32906,33001
68,34399,34489
67,30292,30366
115,32445,32579
138,29613,29797
89,28508,28600
65,33863,33936
1409,32138,33552
247,33637,33888
66,32963,33033
93,34085,34185
272,32795,33073
73,27852,27931
72,27570,27650
100,28516,28620
111,26642,26757
59,27976,28058
112,27133,27249
120,32413,32539
143,32455,32605
98,27463,27566
67,33301,33372
59,32774,32850
516,28600,29162
50,30532,30589
53,29001,29062
77,33604,33685
59,29815,29879
64,34742,34809
53,29768,29826
65,29250,29350
52,30031,30089
49,29112,29167
100,29468,29583
77,29251,29331
59,28966,29030
43,29243,29290
157,29491,29654
164,28920,29132
67,31163,31235
225,31195,31423
74,30627,30717
165,31939,32112
128,31299,31431
152,30349,30514
116,31014,31135
385,30405,30795
143,31758,31906
155,28376,28535
180,31320,31503
336,31114,31454
188,32138,32331
116,31568,31697
165,33518,33686
144,33148,33295
128,32620,32753
239,31616,31862
177,31825,32005
206,26386,26601
188,33014,33206
522,31645,32172
209,32499,32732
236,31966,32207
140,27579,27724
167,32045,32218
127,33876,34007
1192,31641,32890
140,29748,29892
534,27410,27949
250,29247,29501
423,33894,34335
389,29211,29604
206,34334,34545
189,30509,30704
285,32867,33159
492,32986,33483
232,33229,33465
207,33789,34001
185,31643,31832
171,33496,33672
611,29714,30353
160,28413,28579
222,33473,33702
162,34118,34283
151,31904,32059
181,34229,34421
160,28675,28838
165,30352,30520
284,29911,30201
171,30394,30570
172,31195,31371
147,30331,30486
175,31520,31699
161,34040,34204
125,30657,30785
210,29460,29674
178,31485,31690
234,34084,34322
299,30274,30580
504,32057,32566
237,30536,30779
224,31596,31824
60,27231,27295
38,32325,32367
46,26707,26757
77,31186,31268
66,31160,31241
65,31244,31321
36,27036,27076
53,31809,31865
65,31263,31332
103,30400,30508
118,30964,31090
105,31099,31208
73,32134,32212
97,31241,31344
48,28675,28727
82,28583,28669
75,31959,32038
55,32974,33033
136,32206,32347
40,33508,33553
92,29284,29382
86,28878,28968
65,31714,31787
