2754,47077,49869
2706,47183,49941
2694,47372,50095
3129,47169,50335
3164,47456,50673
2941,48064,51037
2833,48804,51671
3983,47745,51754
3126,48960,52149
2695,49723,52447
2888,49560,52475
3236,49340,52605
3593,49380,53015
3002,50215,53257
2775,50954,53756
2945,51253,54224
3052,51213,54302
2619,52315,54979
2622,52565,55215
3245,52020,55295
2629,52950,55627
2668,53206,55927
3044,53105,56190
2931,53568,56561
3053,53707,56805
2627,54145,56822
3912,53004,56947
3538,53484,57102
3105,54093,57230
2865,54502,57397
3150,54419,57599
3062,54712,57818
2839,54958,57840
5162,52706,57924
5456,52413,57950
3341,54768,58145
3635,54471,58154
3041,55180,58264
3473,55388,58904
2835,56500,59376
2771,56838,59663
2992,56686,59714
2795,58294,61122
2855,58330,61226
3152,58723,61916
3540,58598,62181
3898,58599,62545
4060,58544,62653
3255,59580,62862
3205,60044,63292
3029,60314,63375
3120,60424,63590
2503,61246,63784
3461,60431,63937
4135,60127,64304
4365,60153,64570
3274,61607,64919
3076,62165,65273
4466,61382,65881
142,32071,32218
94,33412,33515
99,32737,32840
69,33436,33521
77,39165,39246
114,38499,38616
168,40724,40896
77,40462,40550
85,39747,39836
75,39932,40011
521,40198,40722
142,36988,37135
102,38352,38477
108,40200,40312
112,41257,41373
122,41768,41895
408,42007,42422
134,39092,39230
158,42165,42328
80,40635,40718
60,42514,42578
146,40133,40283
121,39791,39916
84,40067,40155
93,42464,42564
201,40234,40439
225,41355,41585
167,43721,43891
170,41484,41658
106,44779,44890
119,43533,43658
94,40992,41094
66,45086,45156
151,44204,44358
134,44275,44412
67,44429,44499
210,42826,43041
76,44350,44433
369,40970,41359
221,44386,44612
169,41236,41408
89,45848,45944
178,42809,42991
562,44549,45116
139,46067,46212
290,42387,42684
285,42389,42678
198,44004,44206
263,43874,44169
225,42043,42273
245,43697,43952
342,44047,44405
286,43781,44078
238,43179,43420
195,44538,44738
165,44562,44733
417,45962,46385
308,45780,46115
511,44249,44765
182,36063,36248
158,35978,36139
131,36720,36855
465,37839,38310
115,35991,36111
118,37176,37299
107,36248,36360
129,36190,36323
203,36741,36949
284,34759,35049
144,37022,37169
158,36881,37042
429,37412,37860
172,37976,38153
200,37888,38093
237,36283,36525
133,39674,39812
359,38114,38476
289,37928,38221
179,38176,38358
173,37714,37906
228,38327,38558
502,39933,40448
171,38247,38425
193,41005,41202
215,39086,39305
187,39950,40142
182,40797,40983
181,39575,39760
319,40116,40455
98,38796,38897
195,42221,42455
156,40408,40568
92,38247,38345
196,42599,42802
205,40478,40692
203,40910,41123
155,42408,42569
168,39797,39988
198,42145,42347
362,42590,42966
184,41120,41313
118,40347,40471
71,40469,40543
105,39503,39653
265,41946,42242
63,38583,38653
424,44809,45238
152,42554,42719
247,42346,42597
131,41606,41744
66,42846,42928
210,43005,43220
109,41547,41661
84,42746,42836
197,44514,44719
202,43752,44010
213,42846,43063
132,43749,43888
56,36392,36451
68,38440,38512
39,40124,40168
134,39727,39865
117,38277,38397
140,40864,41009
609,39108,39725
128,40364,40496
128,42142,42279
294,38344,38642
102,41609,41720
147,42540,42691
167,41941,42111
346,44980,45332
182,42462,42649
144,43934,44082
192,43695,43892
304,44768,45075
226,44355,44585
188,45916,46110
162,45842,46014
282,44622,44909
236,45595,45836
194,43909,44109
426,45572,46003
138,44322,44463
151,46470,46624
216,43086,43306
212,45145,45360
159,45484,45649
160,49489,49670
213,48224,48473
200,46453,46657
204,51535,51745
141,48397,48547
269,48377,48649
147,46523,46689
193,49402,49625
236,46429,46674
179,51704,51888
334,51230,51573
540,50114,50660
272,51249,51532
159,52807,52970
288,51716,52007
187,51009,51200
146,54021,54171
116,45737,45859
367,50071,50442
153,52600,52760
531,54321,54856
682,56384,57073
345,54982,55333
468,56347,56818
155,52935,53093
198,53020,53222
320,53020,53345
146,55222,55371
145,56664,56812
121,51689,51814
163,56840,57011
48,46781,46833
49,49698,49751
55,55385,55442
120,59161,59300
52,49459,49514
58,56035,56099
67,56348,56422
50,52377,52430
86,56295,56386
43,56267,56315
70,57995,58074
44,56863,56912
106,65401,65513
50,61271,61327
356,51111,51472
159,60351,60513
146,54925,55076
196,59968,60168
257,58856,59118
60,65882,65947
128,64646,64778
112,60616,60735
155,53473,53634
124,68308,68445
39,69516,69558
113,59779,59898
99,68454,68558
40,70863,70908
341,57560,57904
163,64162,64330
169,58738,58911
234,62181,62423
126,61923,62054
183205,70141,253372
106,60052,60162
120,58929,59054
106,70113,70222
133,61102,61239
225,60044,60281
102,70323,70430
451,68230,68685
103,58655,58761
160,62642,62806
133,48843,48983
98,62585,62690
123,60495,60623
169,67576,67752
114,64620,64743
147,69664,69814
142,64274,64422
131,70052,70191
173,63595,63773
132,64598,64735
210,68996,69211
